Data	Codice articolo	Prezzo	Qta	Ref operazione
17/07/15	93205	2,90	1	0007/0104/866/2
17/07/15	93337	9,95	1	0006/0017/6350/5
17/07/15	93337	9,95	1	0006/0017/6350/4
17/07/15	93337	9,95	1	0006/0017/6350/3
17/07/15	99359	7,45	1	0008/0017/4184/5
17/07/15	101917	4,95	1	0008/0017/4256/6
17/07/15	106930	3,30	2	0011/0109/3796/1
17/07/15	112782	15,95	1	0008/0017/4265/1
17/07/15	113376	3,45	1	0007/0104/927/1
17/07/15	120549	2,95	1	0006/0087/6356/3
17/07/15	123740	3,95	1	0008/0017/4257/5
17/07/15	127296	9,95	1	0010/0087/9850/1
17/07/15	133256	1,95	1	0011/0109/3871/4
17/07/15	133272	1,95	1	0011/0109/3871/3
17/07/15	133831	1,95	1	0010/0087/9828/5
17/07/15	133831	1,95	1	0010/0087/9828/4
17/07/15	133831	1,95	1	0010/0087/9828/3
17/07/15	142498	6,95	1	0007/0104/987/3
17/07/15	142500	6,95	1	0007/0104/987/2
17/07/15	142500	6,95	1	0011/0109/3877/1
17/07/15	142505	6,95	1	0007/0104/987/1
17/07/15	142709	0,89	1	0011/0109/3851/1
17/07/15	142805	0,89	1	0011/0109/3855/1
17/07/15	142805	0,89	1	0010/0087/9837/3
17/07/15	143011	0,69	1	0007/0104/917/6
17/07/15	143038	0,69	1	0007/0104/868/2
17/07/15	143038	0,69	1	0007/0104/868/3
17/07/15	143048	0,69	1	0007/0104/917/7
17/07/15	143048	0,69	1	0011/0109/3798/1
17/07/15	144885	0,69	1	0007/0104/983/4
17/07/15	144885	0,69	1	0007/0104/983/5
17/07/15	144885	0,69	1	0007/0104/983/6
17/07/15	144885	0,69	1	0007/0104/983/3
17/07/15	149219	11,95	1	0011/0109/3784/3
17/07/15	160888	18,95	1	0011/0109/3859/3
17/07/15	166033	4,55	1	0011/0109/3851/2
17/07/15	170911	49,95	1	0007/0104/975/1
17/07/15	175981	9,95	1	0007/0104/938/1
17/07/15	175981	9,95	1	0011/0109/3810/1
17/07/15	176424	2,30	1	0007/0104/930/7/PR185684_1         0
17/07/15	176424	2,30	1	0007/0104/930/8/PR185684_1         0
17/07/15	176443	2,90	1	0007/0104/866/1
17/07/15	176449	2,90	1	0010/0087/9867/1
17/07/15	176460	2,90	1	0007/0104/854/1
17/07/15	176491	2,30	1	0007/0104/966/1/PR185684_1         0
17/07/15	176491	2,30	1	0007/0104/966/2/PR185684_1         0
17/07/15	176491	2,90	1	0010/0087/9852/2
17/07/15	176526	2,90	1	0010/0087/9862/1
17/07/15	178759	3,95	1	0007/0104/916/3
17/07/15	178759	3,95	1	0011/0109/3881/4
17/07/15	178794	3,95	1	0008/0017/4211/2
17/07/15	178798	3,95	1	0010/0087/9847/5
17/07/15	178798	3,95	1	0011/0109/3881/5
17/07/15	178883	4,95	1	0011/0109/3840/10
17/07/15	189990	13,45	1	0008/0017/4262/1
17/07/15	195856	15,45	1	0011/0109/3790/1
17/07/15	200279	6,95	1	0008/0017/4179/1
17/07/15	200287	6,95	1	0008/0017/4244/7
17/07/15	202144	6,95	1	0007/0104/964/8
17/07/15	204169	4,95	1	0007/0104/887/1
17/07/15	204169	4,95	1	0011/0109/3782/2
17/07/15	204169	4,95	1	0011/0109/3840/2
17/07/15	204177	4,95	1	0011/0109/3873/7
17/07/15	204178	4,95	1	0008/0017/4259/9
17/07/15	204244	4,95	1	0011/0109/3802/3
17/07/15	204244	4,95	1	0010/0087/9840/5
17/07/15	204290	4,95	1	0008/0017/4259/11
17/07/15	204355	4,95	1	0011/0109/3782/1
17/07/15	204363	4,95	-1	0001/0027/6755/1
17/07/15	204410	12,95	1	0007/0104/952/1
17/07/15	204428	12,95	1	0002/0027/1338/1
17/07/15	206419	19,95	1	0011/0109/3789/1
17/07/15	207022	8,95	1	0010/0087/9827/8
17/07/15	207025	8,95	1	0008/0017/4262/2
17/07/15	207168	8,95	1	0007/0104/900/6
17/07/15	207169	8,95	1	0007/0104/893/1
17/07/15	209230	5,70	1	0008/0017/4264/3/MD 3               0
17/07/15	212968	3,00	1	0008/0017/4182/1
17/07/15	218696	2,95	1	0011/0109/3845/2
17/07/15	224513	2,15	1	0011/0109/3877/2
17/07/15	225234	2,95	1	0007/0104/927/3
17/07/15	229227	6,95	1	0011/0109/3834/8
17/07/15	229345	6,95	1	0011/0109/3816/2
17/07/15	229351	6,95	1	0011/0109/3809/5
17/07/15	229370	6,95	1	0011/0109/3834/10
17/07/15	231655	2,99	1	0007/0104/929/2
17/07/15	232377	1,90	1	0011/0109/3871/5
17/07/15	239977	8,45	1	0008/0017/4259/13/PR264459_1         0
17/07/15	240005	9,95	1	0011/0109/3778/3
17/07/15	240010	8,45	1	0008/0017/4259/12/PR264459_1         0
17/07/15	245616	12,95	1	0007/0104/897/1
17/07/15	245616	12,95	1	0011/0109/3807/4
17/07/15	246629	2,95	1	0008/0017/4180/4
17/07/15	247062	2,95	1	0007/0104/984/1
17/07/15	247783	4,95	1	0011/0109/3883/7
17/07/15	247934	10,00	1	0011/0109/3857/1
17/07/15	254423	2,95	1	0010/0087/9832/2
17/07/15	254423	2,95	1	0010/0087/9857/2
17/07/15	272477	4,95	1	0007/0104/900/9
17/07/15	272477	4,95	1	0007/0104/900/7
17/07/15	272477	4,95	1	0007/0104/900/8
17/07/15	287857	3,95	1	0008/0017/4204/5
17/07/15	287857	3,95	1	0008/0017/4204/3
17/07/15	287857	3,95	1	0008/0017/4204/4
17/07/15	287857	3,95	1	0008/0017/4210/17
17/07/15	287857	3,95	1	0011/0109/3815/2
17/07/15	287857	3,95	1	0007/0104/956/3
17/07/15	287857	3,95	1	0007/0104/956/2
17/07/15	287857	3,95	1	0010/0087/9832/10
17/07/15	287857	3,95	1	0010/0087/9832/11
17/07/15	289292	9,95	1	0006/0087/6355/1
17/07/15	309979	7,95	1	0007/0104/930/6/PR186016_1         0
17/07/15	309979	7,95	1	0007/0104/930/5/PR186016_1         0
17/07/15	310694	2,50	1	0007/0104/917/4
17/07/15	315726	15,45	1	0008/0017/4201/5
17/07/15	321411	4,95	1	0007/0104/982/1
17/07/15	329950	5,95	1	0008/0017/4247/3
17/07/15	329956	5,95	1	0006/0087/6355/8
17/07/15	334116	26,95	-1	0001/0027/6751/1
17/07/15	334505	7,95	1	0011/0109/3806/4
17/07/15	334505	7,95	1	0011/0109/3806/3
17/07/15	346619	5,95	1	0008/0017/4252/1
17/07/15	348874	7,95	1	0011/0109/3815/4
17/07/15	355133	12,95	1	0007/0104/862/2
17/07/15	357783	3,50	1	0007/0104/960/15
17/07/15	362727	3,95	1	0007/0104/935/1
17/07/15	362727	3,95	1	0007/0104/935/2
17/07/15	364989	14,95	1	0007/0104/960/8
17/07/15	366921	3,95	1	0007/0104/891/1
17/07/15	372628	12,00	1	0008/0017/4230/10
17/07/15	372962	19,95	1	0007/0104/989/4
17/07/15	377113	29,95	1	0011/0109/3784/2
17/07/15	377113	29,95	1	0007/0104/933/3
17/07/15	403749	14,95	1	0010/0087/9826/1
17/07/15	405912	7,95	1	0008/0017/4245/15
17/07/15	405912	7,95	1	0010/0087/9856/2
17/07/15	406270	7,95	1	0010/0087/9856/10
17/07/15	406332	9,95	1	0008/0017/4263/3
17/07/15	407819	5,95	1	0010/0087/9839/1
17/07/15	419423	18,45	1	0007/0104/878/2
17/07/15	421523	3,95	1	0008/0017/4225/1
17/07/15	421523	3,95	1	0008/0017/4260/3
17/07/15	421524	4,95	1	0010/0087/9854/4
17/07/15	424644	3,95	1	0007/0104/992/2
17/07/15	428242	7,95	1	0007/0104/960/21/PR194208_1         0
17/07/15	428260	5,95	1	0007/0104/932/2/PR194208_1         0
17/07/15	428260	5,95	1	0011/0109/3883/1/PR194208_1         0
17/07/15	446128	24,95	-1	0001/0027/6752/1
17/07/15	446154	24,95	1	0008/0017/4195/1
17/07/15	468374	7,95	1	0010/0087/9856/17
17/07/15	470415	1,99	1	0011/0109/3871/1
17/07/15	485840	2,95	1	0007/0104/870/1
17/07/15	489817	9,95	1	0008/0017/4169/1
17/07/15	489817	9,95	1	0011/0109/3784/4
17/07/15	493474	2,95	1	0003/0025/694/1001/NEWTON
17/07/15	493609	14,95	1	0010/0087/9856/20
17/07/15	496301	4,95	1	0011/0109/3787/1
17/07/15	496508	10,90	1	0011/0109/3870/3
17/07/15	502238	15,45	1	0011/0109/3835/1
17/07/15	505029	3,95	1	0011/0109/3784/6
17/07/15	507924	3,95	1	0007/0104/899/2
17/07/15	507924	3,95	1	0007/0104/899/1
17/07/15	507924	3,95	1	0010/0087/9848/2
17/07/15	507924	3,95	1	0008/0017/4257/4
17/07/15	510078	30,00	1	0006/0087/6357/3
17/07/15	516008	4,95	1	0007/0104/901/2
17/07/15	516469	3,95	1	0008/0017/4207/1
17/07/15	517082	4,48	1	0011/0109/3805/1/PR170289_2         0
17/07/15	517381	2,45	1	0011/0109/3805/2
17/07/15	517452	3,45	1	0011/0109/3881/2
17/07/15	517625	4,47	1	0011/0109/3805/3/PR170289_2         0
17/07/15	517886	13,45	1	0008/0017/4207/5001/NEWTON
17/07/15	517970	3,73	1	0011/0109/3805/4/PR188505_2         0
17/07/15	517977	2,36	1	0008/0017/4257/2/PR188505_1         0
17/07/15	517993	3,79	1	0008/0017/4257/1/PR188505_1         0
17/07/15	518016	1,95	1	0007/0104/924/2
17/07/15	518016	1,95	1	0007/0104/924/3
17/07/15	518795	17,45	-1	0001/0027/6749/1
17/07/15	519086	14,95	1	0010/0087/9822/5
17/07/15	521509	3,25	1	0011/0109/3805/10/PR266737_1         0
17/07/15	521527	3,25	1	0011/0109/3881/12/PR266737_1         0
17/07/15	521919	30,00	1	0011/0109/3869/3
17/07/15	522253	9,95	1	0011/0109/3881/8
17/07/15	523033	40,00	1	0007/0104/970/1/MD 1               0
17/07/15	523116	14,95	1	0011/0109/3823/1
17/07/15	523151	24,95	1	0008/0017/4176/5
17/07/15	524374	9,95	1	0008/0017/4250/4
17/07/15	524414	4,95	1	0007/0104/882/3
17/07/15	524414	3,95	1	0010/0087/9841/1/PR268892_1         0
17/07/15	525038	50,95	1	0011/0109/3812/1
17/07/15	525360	3,95	1	0007/0104/965/6/PR268892_1         0
17/07/15	525360	3,95	1	0007/0104/965/5/PR268892_1         0
17/07/15	525361	3,95	1	0010/0087/9841/5/PR268892_1         0
17/07/15	525574	9,95	1	0011/0109/3822/3
17/07/15	525574	9,95	1	0008/0017/4223/3
17/07/15	525575	9,95	1	0002/0027/1339/4
17/07/15	525575	9,95	1	0010/0087/9844/3
17/07/15	526033	4,95	1	0007/0104/867/6/PR266792_1         0
17/07/15	526077	9,95	1	0011/0109/3867/1
17/07/15	527789	7,95	1	0008/0017/4216/1
17/07/15	529785	1,95	1	0010/0087/9829/9
17/07/15	530169	25,45	1	0011/0109/3816/4
17/07/15	530538	3,25	1	0011/0109/3845/5/PR266751_1         0
17/07/15	530806	4,95	-1	0001/0027/6755/7
17/07/15	530817	4,95	1	0011/0109/3840/6
17/07/15	530817	4,95	1	0008/0017/4260/7
17/07/15	530828	4,95	1	0007/0104/876/1
17/07/15	530963	4,95	-1	0001/0027/6755/5
17/07/15	530963	4,95	-1	0001/0027/6755/6
17/07/15	530987	4,95	-1	0001/0027/6755/2
17/07/15	531079	6,23	1	0010/0087/9841/2/PR264458_1         0
17/07/15	531088	7,95	1	0011/0109/3778/2
17/07/15	531096	7,95	1	0008/0017/4244/2
17/07/15	531113	6,22	1	0010/0087/9841/6/PR264458_1         0
17/07/15	531118	6,23	1	0011/0109/3821/2/PR264458_1         0
17/07/15	531150	7,95	1	0008/0017/4237/2
17/07/15	531183	7,95	1	0010/0087/9837/6
17/07/15	531592	30,00	1	0007/0104/990/3
17/07/15	532052	6,95	1	0007/0104/919/3
17/07/15	532055	6,95	1	0007/0104/919/4
17/07/15	532128	35,95	1	0010/0087/9850/2
17/07/15	532520	11,95	1	0011/0109/3828/1
17/07/15	532758	9,95	1	0007/0104/922/3
17/07/15	532991	8,95	1	0006/0087/6353/3
17/07/15	534151	7,95	1	0010/0087/9853/3
17/07/15	534179	4,95	1	0006/0087/6357/2
17/07/15	534193	9,95	1	0008/0017/4245/10
17/07/15	534228	6,95	1	0011/0109/3843/1
17/07/15	534270	9,95	1	0010/0087/9829/18
17/07/15	534335	4,95	1	0007/0104/851/2
17/07/15	534335	4,95	1	0007/0104/978/9
17/07/15	534335	4,95	1	0007/0104/978/10
17/07/15	535998	4,95	1	0008/0017/4258/3
17/07/15	536013	4,95	1	0008/0017/4258/4
17/07/15	536039	9,95	-1	0001/0027/6743/1
17/07/15	536209	15,45	1	0008/0017/4185/2
17/07/15	536238	15,45	1	0008/0017/4254/5
17/07/15	536328	6,95	1	0008/0017/4254/6
17/07/15	536413	4,95	1	0007/0104/980/4
17/07/15	536438	4,95	1	0007/0104/980/5
17/07/15	536442	4,95	-1	0001/0027/6763/3
17/07/15	536464	7,47	1	0007/0104/978/12/PR224906_1         0
17/07/15	536468	9,95	1	0008/0017/4222/1
17/07/15	536468	9,95	-1	0001/0027/6763/2
17/07/15	536561	7,47	1	0007/0104/980/3/PR224906_1         0
17/07/15	536610	13,95	-1	0001/0027/6763/1
17/07/15	536661	7,48	1	0007/0104/980/2/PR224906_1         0
17/07/15	536802	7,48	1	0007/0104/978/11/PR224906_1         0
17/07/15	538338	20,45	1	0006/0087/6353/1
17/07/15	539167	9,95	1	0007/0104/896/2
17/07/15	539173	9,95	1	0008/0017/4218/1
17/07/15	540904	9,95	1	0009/0105/7781/2
17/07/15	542967	4,95	1	0007/0104/876/3
17/07/15	542967	4,95	1	0007/0104/876/4
17/07/15	542977	4,95	1	0007/0104/860/1
17/07/15	543520	5,95	1	0011/0109/3809/1
17/07/15	544311	5,00	1	0007/0104/910/2
17/07/15	544470	7,95	1	0008/0017/4260/4
17/07/15	545116	9,95	1	0010/0087/9861/1
17/07/15	548415	4,14	1	0008/0017/4227/5/PR269291_1         0
17/07/15	548654	4,14	1	0008/0017/4226/2/PR269291_1         0
17/07/15	548662	4,95	1	0008/0017/4253/3
17/07/15	548956	6,95	1	0007/0104/900/5
17/07/15	548979	6,95	1	0008/0017/4227/2
17/07/15	549097	5,81	1	0008/0017/4226/3/PR269291_1         0
17/07/15	549097	6,95	1	0011/0109/3834/12
17/07/15	549122	6,95	1	0007/0104/984/3
17/07/15	549130	5,81	1	0008/0017/4227/1/PR269291_1         0
17/07/15	549328	7,95	1	0010/0087/9827/9
17/07/15	549331	7,95	1	0010/0087/9856/3
17/07/15	549331	7,95	1	0008/0017/4263/4
17/07/15	549336	7,95	1	0008/0017/4211/1
17/07/15	549336	7,95	1	0010/0087/9856/4
17/07/15	549341	7,95	1	0011/0109/3881/10
17/07/15	550116	5,00	1	0007/0104/948/2
17/07/15	550193	4,95	1	0008/0017/4263/1
17/07/15	550677	26,95	1	0011/0109/3870/2
17/07/15	550878	4,95	1	0008/0017/4188/6
17/07/15	551759	9,95	1	0008/0017/4201/4
17/07/15	552160	5,95	1	0007/0104/919/1
17/07/15	552178	5,95	1	0007/0104/919/2
17/07/15	552510	5,95	1	0007/0104/964/7
17/07/15	552693	3,00	1	0008/0017/4188/5
17/07/15	554504	20,00	1	0008/0017/4242/2
17/07/15	557428	3,31	1	0007/0104/964/15/PR181417_1         0
17/07/15	559029	4,45	1	0007/0104/921/3/PR264456_1         0
17/07/15	559045	4,45	1	0007/0104/921/6/PR264456_1         0
17/07/15	560045	6,95	1	0011/0109/3834/11
17/07/15	560045	6,95	1	0010/0087/9829/6
17/07/15	560058	6,95	1	0011/0109/3881/13
17/07/15	560485	24,45	1	0010/0087/9856/11
17/07/15	563835	3,32	1	0007/0104/964/17/PR181417_1         0
17/07/15	563885	3,32	1	0007/0104/964/16/PR181417_1         0
17/07/15	563975	9,95	1	0007/0104/864/1
17/07/15	564607	15,00	1	0008/0017/4199/6
17/07/15	564670	4,95	1	0008/0017/4239/1
17/07/15	565414	7,95	1	0011/0109/3850/4
17/07/15	565839	25,45	1	0008/0017/4204/14
17/07/15	565913	11,95	1	0011/0109/3847/1
17/07/15	566139	6,95	1	0008/0017/4170/5
17/07/15	567378	18,45	1	0008/0017/4250/5
17/07/15	567836	4,95	1	0006/0017/6345/3
17/07/15	569272	20,45	-1	0001/0027/6764/1
17/07/15	569370	4,95	1	0011/0109/3849/1/PR263357_2         0
17/07/15	569374	5,95	1	0011/0109/3785/6
17/07/15	569380	4,32	1	0008/0017/4175/6/PR263357_1         0
17/07/15	569396	4,95	1	0007/0104/873/2/PR263357_2         0
17/07/15	569398	4,31	1	0008/0017/4175/5/PR263357_1         0
17/07/15	569398	5,95	1	0010/0087/9822/3
17/07/15	569409	5,95	1	0010/0087/9837/5
17/07/15	569414	5,95	1	0010/0087/9856/6
17/07/15	569417	4,95	1	0011/0109/3849/2/PR263357_2         0
17/07/15	569428	4,95	1	0007/0104/873/1/PR263357_2         0
17/07/15	569428	5,95	1	0011/0109/3791/3
17/07/15	569428	4,95	1	0007/0104/973/4/PR263357_2         0
17/07/15	569428	4,95	1	0007/0104/973/5/PR263357_2         0
17/07/15	569428	5,95	1	0007/0104/986/1
17/07/15	569440	4,32	1	0008/0017/4175/7/PR263357_1         0
17/07/15	569546	4,95	1	0011/0109/3881/23
17/07/15	569554	4,95	1	0011/0109/3830/2
17/07/15	569560	4,95	1	0011/0109/3881/21
17/07/15	569562	4,95	1	0010/0087/9829/7
17/07/15	570679	15,00	1	0007/0104/941/5
17/07/15	571595	6,22	1	0011/0109/3821/3/PR264458_1         0
17/07/15	574885	11,95	1	0011/0109/3807/5
17/07/15	574885	11,95	1	0007/0104/937/1
